96 Partridge Ave,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
14 Waldo St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
33 Prichard Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
32 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
454 Broadway,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
16 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
3 MAXWELLS Grn,405,Somerville,MA,2144,,,,,,,,,,,,,,,,,
8 Cedar Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
1 MAXWELLS Grn,405,Somerville,MA,2144,,,,,,,,,,,,,,,,,
125 Hudson St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
81 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
48 Pearson Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
249 Summer St,3L,Somerville,MA,2143,,,,,,,,,,,,,,,,,
23 PRINCETON St,Unit 3,,MA,2144,,,,,,,,,,,,,,,,,
197 Highland Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
204 Cedar St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Sartwell Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
40 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
9 Woodbine St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
5 Clyde St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
7 Henderson St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
29 Cedar St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
169 HIGHLAND Ave,Unit 2,,MA,2143,,,,,,,,,,,,,,,,,
9 Direnzo Ter,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
474 Broadway,28,Somerville,MA,2145,,,,,,,,,,,,,,,,,
23 Elm St,108,Somerville,MA,2143,,,,,,,,,,,,,,,,,
69 Morrison Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
46 Partridge Ave,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
